,cl
E0,1
E1,0
E2,0
E3,3
E4,0
E5,0
E6,0
E7,1
E8,2
E9,0
E10,3
E11,3
E12,0
E13,0
E14,2
E15,0
E16,3
E17,0
E18,0
E19,3
E20,1
E21,0
E22,3
E23,0
E24,3
E25,0
E26,0
E27,3
E28,0
E29,1
E30,2
E31,0
E32,0
E33,0
E34,3
E35,0
E36,1
E37,1
E38,0
E39,3
E40,0
E41,3
E42,0
E43,1
E44,0
E45,2
E46,0
E47,0
E48,2
E49,2
E50,0
E51,0
E52,0
E53,3
E54,2
E55,0
E56,0
E57,3
E58,0
E59,0
E60,0
E61,0
E62,0
E63,1
E64,3
E65,0
E66,0
E67,3
E68,2
E69,3
E70,0
E71,0
E72,3
E73,0
E74,2
E75,2
E76,3
E77,1
E78,3
E79,0
E80,3
E81,3
E82,0
E83,0
E84,3
E85,3
E86,3
E87,0
E88,2
E89,1
E90,0
E91,1
E92,0
E93,0
E94,0
E95,3
E96,2
E97,0
E98,0
E99,0
E100,3
E101,0
E102,0
E103,2
E104,3
E105,1
E106,0
E107,0
E108,0
E109,0
E110,3
E111,0
E112,0
E113,0
E114,0
E115,3
E116,3
E117,3
E118,0
E119,0
E120,2
E121,2
E122,3
E123,3
E124,0
E125,3
E126,3
E127,0
E128,0
E129,3
E130,0
E131,3
E132,2
E133,0
E134,0
E135,0
E136,0
E137,1
E138,0
E139,0
E140,0
E141,0
E142,3
E143,3
E144,3
E145,3
E146,1
E147,1
E148,0
E149,3
E150,1
E151,1
E152,0
E153,0
E154,0
E155,3
E156,1
E157,0
E158,2
E159,0
E160,0
E161,0
E162,0
E163,3
E164,0
E165,3
E166,0
E167,0
E168,0
E169,0
E170,1
E171,0
E172,3
E173,0
E174,3
E175,0
E176,1
E177,2
E178,0
E179,0
E180,3
E181,0
E182,0
E183,0
E184,2
E185,3
E186,0
E187,3
E188,1
E189,0
E190,3
E191,2
E192,0
E193,0
E194,3
E195,0
E196,0
E197,3
E198,3
E199,0
E200,0
E201,3
E202,0
E203,2
E204,3
E205,0
E206,3
E207,2
E208,0
E209,1
E210,0
E211,1
E212,0
E213,3
E214,3
E215,3
E216,0
E217,3
E218,0
E219,3
E220,0
E221,1
E222,0
E223,0
E224,0
E225,1
E226,3
E227,0
E228,2
E229,0
E230,3
E231,3
E232,1
E233,0
E234,1
E235,3
E236,0
E237,2
E238,3
E239,0
E240,0
E241,3
E242,2
E243,1
E244,3
E245,0
E246,3
E247,3
E248,0
E249,1
E250,0
E251,0
E252,2
E253,3
E254,3
E255,2
E256,0
E257,0
E258,3
E259,0
E260,0
E261,1
E262,3
E263,0
E264,0
E265,1
E266,1
E267,2
E268,3
E269,3
E270,0
E271,3
E272,3
E273,2
E274,0
E275,0
E276,2
E277,0
E278,0
E279,0
E280,3
E281,0
E282,0
E283,1
E284,3
E285,0
E286,0
E287,0
E288,0
E289,3
E290,1
E291,0
E292,2
E293,0
E294,2
E295,0
E296,1
E297,0
E298,0
E299,0
E300,1
E301,3
E302,1
E303,3
E304,1
E305,0
E306,3
E307,2
E308,0
E309,3
E310,0
E311,2
E312,0
E313,1
E314,0
E315,3
E316,0
E317,3
E318,3
E319,0
E320,2
E321,1
E322,1
E323,3
E324,3
E325,0
E326,0
E327,0
E328,0
E329,2
E330,3
E331,0
E332,0
E333,3
E334,0
E335,1
E336,2
E337,0
E338,1
E339,0
E340,3
E341,3
E342,0
E343,1
E344,0
E345,3
E346,0
E347,0
E348,1
E349,0
E350,3
E351,0
E352,0
E353,0
E354,3
E355,0
E356,1
E357,2
E358,3
E359,1
E360,0
E361,2
E362,1
E363,0
E364,3
E365,0
E366,3
E367,0
E368,0
E369,3
E370,0
E371,1
E372,3
E373,0
E374,0
E375,0
E376,0
E377,1
E378,0
E379,0
E380,0
E381,0
E382,3
E383,0
E384,3
E385,3
E386,0
E387,1
E388,3
E389,0
E390,0
E391,3
E392,3
E393,2
E394,3
E395,2
E396,0
E397,1
E398,2
E399,0
E400,0
E401,2
E402,0
E403,0
E404,2
E405,0
E406,3
E407,0
