,cl
E0,3
E1,0
E2,0
E3,2
E4,0
E5,2
E6,0
E7,3
E8,3
E9,0
E10,2
E11,2
E12,0
E13,0
E14,1
E15,0
E16,2
E17,0
E18,0
E19,2
E20,3
E21,0
E22,2
E23,0
E24,2
E25,0
E26,0
E27,2
E28,0
E29,1
E30,1
E31,0
E32,0
E33,0
E34,2
E35,0
E36,3
E37,1
E38,0
E39,2
E40,0
E41,2
E42,0
E43,1
E44,0
E45,1
E46,0
E47,0
E48,3
E49,1
E50,0
E51,0
E52,0
E53,2
E54,1
E55,0
E56,0
E57,2
E58,0
E59,0
E60,0
E61,0
E62,0
E63,1
E64,2
E65,0
E66,0
E67,2
E68,3
E69,2
E70,0
E71,0
E72,2
E73,0
E74,3
E75,3
E76,2
E77,1
E78,2
E79,0
E80,2
E81,2
E82,0
E83,0
E84,2
E85,2
E86,2
E87,0
E88,3
E89,3
E90,0
E91,3
E92,0
E93,0
E94,0
E95,2
E96,3
E97,0
E98,0
E99,0
E100,2
E101,0
E102,0
E103,3
E104,2
E105,1
E106,0
E107,0
E108,0
E109,0
E110,2
E111,0
E112,0
E113,0
E114,0
E115,2
E116,2
E117,2
E118,0
E119,0
E120,3
E121,3
E122,2
E123,2
E124,0
E125,2
E126,2
E127,0
E128,0
E129,2
E130,0
E131,2
E132,1
E133,0
E134,0
E135,0
E136,0
E137,1
E138,0
E139,0
E140,0
E141,0
E142,2
E143,2
E144,2
E145,2
E146,3
E147,1
E148,0
E149,2
E150,3
E151,1
E152,0
E153,0
E154,0
E155,2
E156,1
E157,0
E158,3
E159,0
E160,0
E161,0
E162,0
E163,2
E164,0
E165,2
E166,0
E167,0
E168,0
E169,0
E170,1
E171,0
E172,2
E173,0
E174,2
E175,0
E176,1
E177,1
E178,0
E179,0
E180,2
E181,0
E182,0
E183,0
E184,1
E185,2
E186,0
E187,2
E188,3
E189,0
E190,2
E191,3
E192,0
E193,0
E194,2
E195,0
E196,0
E197,2
E198,2
E199,2
E200,0
E201,2
E202,0
E203,1
E204,2
E205,0
E206,2
E207,3
E208,0
E209,1
E210,0
E211,3
E212,0
E213,2
E214,2
E215,2
E216,0
E217,2
E218,0
E219,2
E220,0
E221,3
E222,0
E223,0
E224,0
E225,3
E226,2
E227,0
E228,3
E229,0
E230,2
E231,2
E232,3
E233,0
E234,1
E235,2
E236,2
E237,3
E238,2
E239,0
E240,0
E241,2
E242,3
E243,3
E244,2
E245,0
E246,2
E247,2
E248,0
E249,1
E250,0
E251,0
E252,1
E253,2
E254,2
E255,1
E256,0
E257,0
E258,2
E259,0
E260,0
E261,3
E262,2
E263,0
E264,0
E265,1
E266,1
E267,1
E268,2
E269,2
E270,0
E271,2
E272,2
E273,3
E274,0
E275,0
E276,3
E277,0
E278,0
E279,0
E280,2
E281,0
E282,0
E283,3
E284,2
E285,0
E286,0
E287,0
E288,0
E289,2
E290,3
E291,0
E292,1
E293,0
E294,1
E295,0
E296,1
E297,0
E298,0
E299,0
E300,3
E301,2
E302,1
E303,2
E304,3
E305,0
E306,2
E307,3
E308,0
E309,2
E310,0
E311,3
E312,0
E313,3
E314,0
E315,2
E316,0
E317,2
E318,2
E319,0
E320,3
E321,1
E322,3
E323,2
E324,2
E325,0
E326,0
E327,0
E328,0
E329,3
E330,2
E331,0
E332,0
E333,2
E334,0
E335,1
E336,3
E337,0
E338,1
E339,0
E340,2
E341,2
E342,0
E343,3
E344,0
E345,2
E346,0
E347,0
E348,3
E349,0
E350,2
E351,0
E352,0
E353,0
E354,2
E355,0
E356,3
E357,3
E358,2
E359,3
E360,0
E361,3
E362,3
E363,0
E364,2
E365,0
E366,2
E367,0
E368,0
E369,2
E370,0
E371,1
E372,2
E373,0
E374,0
E375,0
E376,0
E377,3
E378,0
E379,0
E380,0
E381,0
E382,2
E383,0
E384,2
E385,2
E386,0
E387,1
E388,2
E389,0
E390,0
E391,2
E392,2
E393,1
E394,2
E395,3
E396,0
E397,1
E398,3
E399,0
E400,0
E401,1
E402,0
E403,0
E404,3
E405,0
E406,2
E407,0
E408,2
E409,1
E410,3
E411,0
E412,0
E413,2
E414,0
E415,3
E416,0
E417,1
E418,1
E419,0
E420,0
E421,0
E422,3
E423,2
E424,0
E425,2
E426,2
E427,3
E428,0
E429,2
E430,0
E431,1
E432,0
E433,2
E434,0
E435,2
E436,0
E437,0
E438,2
E439,0
E440,0
E441,0
E442,0
E443,2
E444,2
E445,3
E446,0
E447,0
E448,3
E449,0
E450,2
E451,3
E452,1
E453,3
E454,0
E455,3
E456,2
E457,3
E458,0
E459,1
E460,2
E461,1
E462,0
E463,0
E464,1
E465,1
E466,0
E467,2
E468,2
E469,0
E470,3
E471,3
E472,2
E473,0
E474,3
E475,2
E476,2
E477,0
E478,0
E479,3
E480,0
E481,0
E482,2
E483,2
E484,1
E485,0
E486,0
E487,0
E488,0
E489,0
E490,0
E491,0
E492,2
E493,2
E494,0
E495,0
E496,2
E497,3
E498,0
E499,1
E500,2
E501,0
E502,2
E503,0
E504,3
E505,3
E506,1
E507,0
E508,0
E509,0
E510,2
E511,0
E512,0
E513,0
E514,3
E515,0
E516,0
E517,0
E518,0
E519,1
E520,0
E521,0
E522,0
E523,0
E524,0
E525,2
E526,0
E527,2
E528,0
E529,2
E530,0
E531,0
E532,0
E533,2
E534,0
E535,2
E536,0
E537,3
E538,2
E539,0
E540,2
E541,0
E542,0
E543,0
E544,0
E545,0
E546,1
E547,0
E548,0
E549,2
E550,0
E551,0
E552,3
E553,2
E554,1
E555,0
E556,2
