,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E826_139,NA,NA,0.17315,NA
E121_91,NA,NA,NA,0.11292
E67_381,NA,NA,0.47679,NA
E878_100,0.12422,NA,NA,NA
E342_91,0.11292,NA,NA,NA
E605_621,NA,NA,0.77792,NA
E642_510,NA,NA,NA,0.63864
E396_621,0.77792,NA,NA,NA
E356_276,NA,NA,NA,0.34504
E371_25,NA,0.03011,NA,NA
E181_619,0.77541,NA,NA,NA
E428_492,0.61606,NA,NA,NA
E848_579,NA,0.72522,NA,NA
E332_457,0.57215,NA,NA,NA
E491_615,0.77039,NA,NA,NA
E924_16,0.01882,NA,NA,NA
E845_48,NA,NA,0.05897,NA
E844_283,NA,NA,0.35383,NA
E392_42,NA,NA,0.05144,NA
E364_162,NA,NA,0.20201,NA
E575_134,0.16688,NA,NA,NA
E702_484,0.60602,NA,NA,NA
E222_765,0.95859,NA,NA,NA
E967_332,NA,NA,0.41531,NA
E792_639,NA,NA,NA,0.8005
E847_379,0.47428,NA,NA,NA
E247_398,NA,NA,0.49812,NA
E83_633,0.79297,NA,NA,NA
E639_302,NA,NA,0.37767,NA
E463_655,0.82058,NA,NA,NA
E760_469,NA,NA,NA,0.5872
E918_148,0.18444,NA,NA,NA
E999_590,0.73902,NA,NA,NA
E361_393,NA,NA,NA,0.49184
E976_466,0.58344,NA,NA,NA
E920_610,0.76412,NA,NA,NA
E654_539,0.67503,NA,NA,NA
E958_399,NA,NA,0.49937,NA
E126_190,NA,NA,0.23714,NA
E433_521,NA,NA,0.65245,NA
E502_473,NA,NA,0.59222,NA
E554_567,NA,0.71016,NA,NA
E944_96,0.1192,NA,NA,NA
E1_137,0.17064,NA,NA,NA
E372_62,NA,NA,0.07654,NA
E456_481,NA,NA,0.60226,NA
E602_345,NA,NA,NA,0.43162
E966_692,NA,NA,0.867,NA
E975_280,NA,NA,0.35006,NA
E584_251,NA,0.31368,NA,NA
E35_450,0.56336,NA,NA,NA
E860_398,0.49812,NA,NA,NA
E608_608,0.76161,NA,NA,NA
E667_706,NA,NA,0.88457,NA
E820_557,NA,NA,0.69762,NA
E609_480,0.601,NA,NA,NA
E570_55,NA,NA,NA,0.06775
E237_200,NA,NA,NA,0.24969
E478_746,0.93476,NA,NA,NA
E987_548,NA,NA,NA,0.68632
E246_193,NA,NA,0.2409,NA
E695_342,0.42785,NA,NA,NA
E553_502,NA,NA,0.62861,NA
E929_741,NA,NA,0.92848,NA
E905_764,NA,NA,0.95734,NA
E861_470,NA,0.58846,NA,NA
E821_310,NA,NA,NA,0.3877
E398_386,NA,NA,NA,0.48306
E27_682,NA,NA,0.85445,NA
E937_225,0.28105,NA,NA,NA
E446_637,0.79799,NA,NA,NA
E302_633,NA,0.79297,NA,NA
E576_346,NA,NA,0.43287,NA
E723_603,0.75533,NA,NA,NA
E244_776,NA,NA,0.9724,NA
E176_692,NA,0.867,NA,NA
E448_158,NA,NA,NA,0.19699
E81_551,NA,NA,0.69009,NA
E785_734,0.9197,NA,NA,NA
E993_11,NA,NA,0.01255,NA
E75_774,NA,NA,NA,0.96989
E504_139,NA,NA,NA,0.17315
E140_364,0.45546,NA,NA,NA
E191_775,NA,NA,NA,0.97114
E910_6,NA,NA,0.00627,NA
E961_294,NA,NA,NA,0.36763
E669_583,0.73024,NA,NA,NA
E416_550,0.68883,NA,NA,NA
E214_107,NA,NA,0.133,NA
E374_729,0.91343,NA,NA,NA
E979_480,0.601,NA,NA,NA
E516_194,0.24216,NA,NA,NA
E803_299,0.3739,NA,NA,NA
E767_184,NA,NA,NA,0.22961
E765_149,0.1857,NA,NA,NA
E834_120,NA,NA,0.14931,NA
E44_367,0.45922,NA,NA,NA
E438_414,NA,NA,0.51819,NA
E393_361,NA,0.45169,NA,NA
E210_16,0.01882,NA,NA,NA
E7_156,NA,NA,NA,0.19448
E365_327,0.40903,NA,NA,NA
E177_460,NA,0.57591,NA,NA
E740_102,NA,NA,NA,0.12673
E476_589,NA,NA,0.73777,NA
E30_529,NA,0.66248,NA,NA
E0_745,NA,NA,NA,0.9335
E303_652,NA,NA,0.81681,NA
E96_529,NA,NA,NA,0.66248
E92_278,0.34755,NA,NA,NA
E517_144,0.17942,NA,NA,NA
E216_228,0.28482,NA,NA,NA
E120_498,NA,NA,NA,0.62359
E774_283,0.35383,NA,NA,NA
E986_798,NA,NA,NA,1.0
E95_264,NA,NA,0.32999,NA
E748_751,0.94103,NA,NA,NA
E914_311,NA,NA,NA,0.38896
E394_127,NA,NA,0.15809,NA
E116_293,NA,NA,0.36637,NA
E528_675,0.84567,NA,NA,NA
E862_667,0.83563,NA,NA,NA
E150_399,NA,NA,NA,0.49937
E807_406,NA,NA,0.50816,NA
E142_721,NA,NA,0.90339,NA
E280_320,NA,NA,0.40025,NA
E677_686,NA,NA,NA,0.85947
E139_709,0.88833,NA,NA,NA
E818_466,0.58344,NA,NA,NA
E422_192,NA,NA,NA,0.23965
E666_583,NA,NA,0.73024,NA
E696_582,0.72898,NA,NA,NA
E923_137,0.17064,NA,NA,NA
E405_793,0.99373,NA,NA,NA
E945_697,NA,NA,0.87327,NA
E620_772,NA,0.96738,NA,NA
E552_408,NA,NA,NA,0.51066
E451_168,NA,NA,NA,0.20954
E705_134,NA,0.16688,NA,NA
E403_497,0.62233,NA,NA,NA
E744_155,NA,NA,0.19322,NA
E842_710,0.88959,NA,NA,NA
E188_733,NA,NA,NA,0.91844
E819_765,NA,NA,0.95859,NA
E903_741,NA,NA,NA,0.92848
E362_366,NA,NA,NA,0.45797
E658_588,NA,NA,NA,0.73651
E832_229,NA,0.28607,NA,NA
E190_581,NA,NA,0.72773,NA
E896_722,0.90464,NA,NA,NA
E447_691,0.86575,NA,NA,NA
E572_64,0.07905,NA,NA,NA
E890_53,0.06524,NA,NA,NA
E567_191,0.23839,NA,NA,NA
E167_257,0.3212,NA,NA,NA
E257_635,0.79548,NA,NA,NA
E557_4,NA,NA,0.00376,NA
E298_763,0.95609,NA,NA,NA
E381_771,0.96612,NA,NA,NA
E898_514,NA,0.64366,NA,NA
E94_147,0.18319,NA,NA,NA
E474_481,NA,NA,NA,0.60226
E227_201,0.25094,NA,NA,NA
E179_724,0.90715,NA,NA,NA
E21_707,0.88582,NA,NA,NA
E590_17,NA,0.02008,NA,NA
E733_515,0.64492,NA,NA,NA
E228_180,NA,NA,NA,0.22459
E427_135,NA,NA,NA,0.16813
E597_191,NA,NA,NA,0.23839
E732_625,NA,NA,NA,0.78294
E798_486,0.60853,NA,NA,NA
E636_752,0.94228,NA,NA,NA
E706_137,NA,NA,NA,0.17064
E547_470,0.58846,NA,NA,NA
E333_419,NA,NA,0.52447,NA
E700_688,NA,NA,NA,0.86198
E511_262,0.32748,NA,NA,NA
E680_50,NA,NA,NA,0.06148
E149_541,NA,NA,0.67754,NA
E815_373,0.46675,NA,NA,NA
E789_411,NA,NA,0.51443,NA
E906_180,0.22459,NA,NA,NA
E707_607,0.76035,NA,NA,NA
E335_212,NA,0.26474,NA,NA
E786_474,NA,NA,0.59348,NA
E34_29,NA,NA,0.03513,NA
E241_412,NA,NA,0.51568,NA
E866_638,NA,NA,NA,0.79925
E419_741,0.92848,NA,NA,NA
E518_212,0.26474,NA,NA,NA
E10_170,NA,NA,0.21205,NA
E5_505,NA,NA,0.63237,NA
E730_794,NA,0.99498,NA,NA
E691_604,0.75659,NA,NA,NA
E825_759,NA,0.95107,NA,NA
E42_675,0.84567,NA,NA,NA
E682_768,NA,NA,NA,0.96236
E897_329,NA,0.41154,NA,NA
E714_727,0.91092,NA,NA,NA
E498_561,0.70263,NA,NA,NA
E904_199,NA,NA,0.24843,NA
E482_450,NA,NA,0.56336,NA
E37_707,NA,0.88582,NA,NA
E641_503,NA,NA,0.62986,NA
E852_642,NA,NA,0.80427,NA
E240_144,0.17942,NA,NA,NA
E788_718,0.89962,NA,NA,NA
E870_125,NA,0.15558,NA,NA
E588_38,0.04642,NA,NA,NA
E624_49,NA,NA,0.06023,NA
E376_102,0.12673,NA,NA,NA
