Target_genes	ZNF398|Average	SRX3322508|293	SRX3322509|293	SRX6742746|hES_BG01V	SRX6742745|hESC_H9	SRX16497164|K-562	SRX16497166|K-562	STRING
CASC3	1155.166667	3564	3367	0	0	0	0	0
BCL2L2-PABPN1	1139.000000	3290	3288	0	256	0	0	0
BCL2L2	1139.000000	3290	3288	0	256	0	0	0
ETS2	1134.166667	3398	3120	0	287	0	0	0
STAT6	1108.333333	3441	3209	0	0	0	0	0
ITSN1	1054.166667	3186	3139	0	0	0	0	0
CRYZL1	1054.166667	3186	3139	0	0	0	0	0
SSBP2	1051.000000	2909	3140	138	119	0	0	0
NUP155	1048.166667	3136	3153	0	0	0	0	0
PTP4A2	1043.500000	3252	3009	0	0	0	0	0
TMEM30A	1041.500000	2957	3292	0	0	0	0	0
MYO3A	1037.666667	2996	3113	0	117	0	0	0
PGAP1	1037.500000	2930	3190	0	105	0	0	0
NOL11	1029.000000	2274	2534	0	221	559	586	0
TRIB1	1027.333333	2907	3092	0	165	0	0	0
TGFB3	1026.333333	2944	3214	0	0	0	0	0
SPIRE2	1012.500000	2974	3002	0	99	0	0	0
PIK3C2B	1004.000000	2810	2944	0	270	0	0	0
STX6	1003.333333	2795	2841	0	116	0	268	0
TLK1	985.000000	2724	3056	0	130	0	0	0
HDDC2	979.166667	2831	3044	0	0	0	0	0
BBX	979.000000	2757	2951	0	166	0	0	0
DYRK1A	973.500000	2649	2963	103	126	0	0	0
GLIPR1L2	955.500000	2751	2982	0	0	0	0	0
SPPL2A	942.833333	2635	3022	0	0	0	0	0
HOXB9	926.000000	2687	2869	0	0	0	0	0
SUFU	921.666667	2725	2805	0	0	0	0	0
FBN2	920.666667	2687	2837	0	0	0	0	0
DDX3X	920.666667	2789	2624	0	111	0	0	0
ERBB3	919.833333	2724	2795	0	0	0	0	0
TSC22D4	915.333333	2781	2711	0	0	0	0	0
SEPTIN7	910.833333	2410	2759	0	113	183	0	0
CAMK2N1	907.166667	2740	2703	0	0	0	0	0
PTPN4	894.166667	2456	2909	0	0	0	0	0
TRAPPC9	879.500000	2580	2697	0	0	0	0	0
NCBP3	875.666667	2408	2754	0	92	0	0	0
IKZF5	873.166667	2475	2596	0	168	0	0	0
ACADSB	873.166667	2475	2596	0	168	0	0	0
ZNF566	872.500000	2617	2492	0	126	0	0	0
SEZ6L2	872.000000	2512	2462	0	258	0	0	0
ASPHD1	872.000000	2512	2462	0	258	0	0	0
BCORL1	870.666667	2525	2699	0	0	0	0	0
FER	866.500000	2467	2590	0	142	0	0	0
IRX3	861.333333	2515	2653	0	0	0	0	0
POLK	860.000000	2455	2705	0	0	0	0	0
CERT1	860.000000	2455	2705	0	0	0	0	0
PCM1	851.833333	2497	2518	96	0	0	0	0
FAM168A	849.500000	2485	2612	0	0	0	0	0
OPTN	843.166667	2381	2678	0	0	0	0	0
CCDC3	843.166667	2381	2678	0	0	0	0	0
PMAIP1	842.333333	2276	2778	0	0	0	0	0
PHF23	839.333333	2427	2489	0	120	0	0	0
EMILIN2	833.666667	2245	2757	0	0	0	0	0
CADM4	833.666667	2318	2684	0	0	0	0	0
TUBA1C	832.333333	2283	2475	0	236	0	0	0
SUZ12	832.000000	2416	2576	0	0	0	0	0
CUL3	831.333333	2220	2530	110	128	0	0	0
RABEP1	825.666667	2102	2554	112	186	0	0	0
LHFPL2	825.500000	2285	2668	0	0	0	0	0
