Target_genes	UBTF|Average	SRX2423977|GM12878	SRX2423978|GM12878	SRX2424229|HeLa	SRX2424230|HeLa	SRX10478330|Hep_G2	SRX10478331|Hep_G2	SRX1519704|hESC_H9	SRX1519705|hESC_H9	SRX150418|K-562	SRX150721|K-562	SRX23177015|PLC/PRF/5	SRX23177016|PLC/PRF/5	STRING
AURKAIP1	893.250000	401	352	166	0	2766	2791	0	185	1895	1919	244	0	0
IPP	845.583333	140	0	247	454	2644	2549	717	428	1376	1592	0	0	0
PSMD3	809.916667	400	354	131	99	2366	2567	0	0	1712	1779	185	126	0
PRCC	747.083333	352	326	125	0	2386	1839	188	132	1653	1684	186	94	0
SELENOT	743.666667	327	195	303	303	2360	2361	201	203	1375	1296	0	0	0
SUGT1	735.750000	203	176	0	0	2222	2032	0	0	1695	1839	370	292	0
ATG2A	699.916667	279	413	141	0	2327	1763	0	0	1440	1809	136	91	0
INTS2	691.083333	242	245	97	0	2388	2148	0	0	1360	1676	137	0	0
CNOT4	651.083333	294	240	0	0	2257	1870	0	0	1554	1598	0	0	0
FAM227B	619.166667	0	92	0	0	2635	2261	0	0	778	1414	250	0	0
DTWD1	619.166667	0	92	0	0	2635	2261	0	0	778	1414	250	0	0
PCBP2	618.666667	322	190	0	0	2164	1638	0	0	1186	1427	312	185	0
CCDC7	609.916667	271	103	0	0	2813	1525	0	0	1117	1490	0	0	0
KDELR1	605.333333	300	323	0	0	2196	1755	0	0	1279	1411	0	0	0
EPB41L5	596.083333	0	0	0	0	1597	1703	263	303	1360	1647	150	130	0
ZMPSTE24	575.583333	0	0	0	0	1667	1644	0	0	572	1191	1007	826	0
DNAJC25-GNG10	562.166667	0	96	0	0	1822	2050	0	0	926	1665	187	0	0
DNAJC25	562.166667	0	96	0	0	1822	2050	0	0	926	1665	187	0	0
VWA8	559.833333	104	0	0	0	2435	2119	0	0	879	1181	0	0	0
INO80D	537.416667	371	234	0	0	2041	976	0	0	1233	1425	169	0	0
TMEM68	523.916667	0	89	0	0	1823	1486	0	0	939	1242	445	263	0
TGS1	523.916667	0	89	0	0	1823	1486	0	0	939	1242	445	263	0
MTIF2	521.583333	0	0	0	0	2112	1853	0	0	700	1090	234	270	0
ZNHIT2	519.500000	249	135	0	0	1794	1332	276	0	1181	1267	0	0	0
PSMD14	519.166667	124	125	0	0	2317	1936	0	0	733	995	0	0	0
TEFM	517.916667	0	0	0	0	2441	1749	0	0	736	1289	0	0	0
OTUD7B	505.916667	0	0	0	0	1945	1671	114	0	900	1227	214	0	0
SETD2	505.000000	221	169	0	0	1832	1229	0	0	1253	1156	200	0	0
VRK2	504.333333	0	0	0	0	2131	1900	0	0	535	1121	230	135	0
GSTA4	495.833333	135	186	122	0	1938	1920	0	0	434	852	160	203	0
IQSEC3	488.250000	0	0	0	0	2508	1308	0	0	754	1289	0	0	0
CCDC88A	485.750000	0	0	0	0	2082	1860	0	0	681	1074	132	0	0
TMA16	485.583333	0	0	0	0	1950	1822	0	0	619	1185	144	107	0
CFAP298-TCP10L	481.416667	0	0	0	0	1925	1290	0	0	951	1460	151	0	0
CFAP298	481.416667	0	0	0	0	1925	1290	0	0	951	1460	151	0	0
EFCAB13	479.666667	0	0	0	0	2462	1355	0	0	672	1267	0	0	0
MED26	477.083333	146	156	0	0	1742	1273	0	0	1169	1239	0	0	0
CAPRIN1	474.916667	63	0	0	275	1900	1038	0	0	986	1437	0	0	0
ZNF319	474.500000	201	200	0	0	2277	689	0	0	1090	1237	0	0	0
USB1	474.500000	201	200	0	0	2277	689	0	0	1090	1237	0	0	0
ITGB5	459.833333	0	0	0	266	2049	954	0	0	620	1506	123	0	0
TMEM41A	454.583333	0	0	0	0	1977	1495	0	0	608	1082	171	122	0
ZCCHC3	452.250000	0	0	0	0	1861	1860	0	0	615	1091	0	0	0
ZMYND11	450.250000	258	210	0	0	2130	615	0	0	1104	1086	0	0	0
TIGD1	449.250000	0	0	0	0	2033	1685	0	0	494	910	196	73	0
EIF4E2	449.250000	0	0	0	0	2033	1685	0	0	494	910	196	73	0
DCAF5	445.916667	268	220	0	0	1709	1138	0	0	970	1046	0	0	0
CDK5RAP1	444.166667	115	0	0	0	1626	1565	0	0	796	1228	0	0	0
FBXW4	441.833333	129	143	0	85	2024	884	0	0	869	1168	0	0	0
NSD3	438.416667	196	194	0	0	1904	886	0	0	1054	923	104	0	0
MARK2	435.166667	173	174	0	134	1500	448	0	0	1330	1386	77	0	0
NIPBL	434.416667	0	97	0	139	1869	1407	0	0	812	889	0	0	0
POLG	431.750000	233	124	0	0	2060	1022	0	0	536	773	246	187	0
UBE2J1	429.500000	0	0	0	0	1996	1284	0	0	753	967	154	0	0
CCDC150	429.333333	0	0	0	0	2732	2138	0	0	0	110	172	0	0
ERCC6L2	428.916667	0	0	0	0	1973	1557	0	0	497	970	150	0	0
NDFIP1	426.000000	0	0	0	121	2319	862	0	0	850	860	100	0	0
TNPO1	422.833333	0	0	0	0	2115	1494	0	0	536	929	0	0	0
DAXX	421.416667	0	0	0	0	1126	1210	0	0	930	1297	343	151	0
ZNF639	420.000000	134	122	0	0	1857	1249	0	0	713	874	91	0	0
ANKAR	417.666667	91	0	0	0	2567	2209	0	0	0	0	145	0	0
QSER1	414.833333	104	142	0	0	2297	1461	0	0	469	505	0	0	0
SUPT16H	411.750000	0	0	0	0	2084	1339	0	0	603	915	0	0	0
DCAF10	410.500000	0	0	0	0	1647	1596	0	0	513	907	184	79	0
ALG13	405.250000	0	0	0	0	1331	788	0	0	1230	1514	0	0	0
TMEM14A	403.000000	0	0	0	0	2465	2052	163	0	0	156	0	0	0
ZNF846	401.166667	0	0	0	0	1651	1190	0	0	513	1098	179	183	0
UBAP2L	401.000000	191	147	0	0	1493	864	0	0	1178	939	0	0	0
C1orf43	401.000000	191	147	0	0	1493	864	0	0	1178	939	0	0	0
RANGAP1	399.666667	210	161	0	0	1644	554	0	0	879	897	299	152	0
DNAJC6	399.250000	0	0	0	0	2061	532	0	0	927	1271	0	0	0
TMEM19	398.750000	0	0	0	0	1520	874	0	0	946	1445	0	0	0
CPLX2	396.916667	0	0	0	0	2391	1198	102	0	344	728	0	0	0
GCFC2	396.083333	0	0	0	0	2194	1469	0	0	386	704	0	0	0
MRPL21	393.750000	0	0	0	0	1995	1212	0	0	516	1002	0	0	0
IGHMBP2	393.750000	0	0	0	0	1995	1212	0	0	516	1002	0	0	0
ANKRD52	391.333333	144	155	0	0	1921	912	0	0	751	707	106	0	0
FGFBP3	390.583333	0	0	0	0	1875	1671	0	0	338	803	0	0	0
UPF1	390.083333	232	146	0	0	2025	410	0	0	897	971	0	0	0
MARCHF7	389.583333	0	0	0	0	1595	984	0	0	750	1346	0	0	0
CILK1	379.000000	0	0	0	0	1919	1675	0	0	360	594	0	0	0
EYA1	375.416667	0	0	0	0	2626	1605	160	114	0	0	0	0	0
SP6	374.833333	0	0	0	0	2425	1180	0	0	332	561	0	0	0
SEC11A	374.833333	0	0	0	0	1188	985	0	0	450	810	660	405	0
