Target_genes	CHD7|Average	SRX3010215|A549	SRX3010216|A549	SRX1901615|CD34+	SRX9795022|Cerebellum	SRX3010108|GM12878	SRX3010109|GM12878	SRX116455|hESC_H1	SRX186669|hESC_H1	SRX3581475|iPSC_derived_neural_cells	SRX3581477|iPSC_derived_neural_cells	SRX3581509|iPSC_derived_neural_cells	SRX3581511|iPSC_derived_neural_cells	SRX702549|iPSC_derived_neural_cells	SRX3581513|iPSC_derived_neural_crests	SRX3581515|iPSC_derived_neural_crests	SRX3581504|iPS_cells	SRX3581507|iPS_cells	SRX116418|K-562	SRX186674|K-562	STRING
GNAL	791.894737	1394	1135	2159	228	1165	845	695	697	0	761	0	0	2567	0	0	0	0	1655	1745	0
WDFY1	766.684211	1190	1004	2438	237	675	545	780	785	0	637	0	0	2717	0	0	0	0	1739	1820	0
ADRA1A	699.368421	1156	1106	2318	0	334	260	807	805	0	421	0	0	2490	0	0	0	0	1752	1839	0
MAD1L1	623.263158	847	858	1976	362	610	528	632	631	0	499	0	0	2127	0	0	0	0	1362	1410	0
CCDC69	580.210526	738	587	2062	254	358	158	694	695	0	328	0	0	1832	0	0	0	0	1618	1700	0
DNAJB12	573.578947	503	453	2223	489	326	146	617	613	0	288	0	0	1996	0	0	0	0	1577	1667	0
CDRT1	551.578947	554	493	1952	275	0	0	799	784	0	506	0	0	2173	0	0	0	0	1448	1496	0
FNDC3B	537.473684	413	209	1959	218	271	140	648	643	0	228	0	0	1751	0	0	0	139	1754	1839	0
VAT1L	515.789474	719	754	1531	367	354	100	643	639	0	584	0	0	2121	0	0	0	0	974	1014	0
MTRNR2L2	510.526316	899	1527	380	0	1631	1387	495	594	162	263	215	0	0	136	168	433	226	579	605	0
CD320	509.578947	547	546	1986	262	527	450	480	477	0	415	0	0	1578	0	0	0	0	1175	1239	0
PLEKHG5	506.315789	409	428	1698	225	432	236	644	642	0	261	0	0	1595	0	0	0	0	1492	1558	0
SPATA5	501.368421	435	452	2058	160	344	207	532	531	0	260	0	0	1432	0	0	0	0	1518	1597	0
NUDT6	501.368421	435	452	2058	160	344	207	532	531	0	260	0	0	1432	0	0	0	0	1518	1597	0
SEZ6	458.263158	251	322	1590	280	0	0	703	699	0	402	0	0	1789	0	0	0	0	1305	1366	0
LURAP1	456.947368	0	0	1706	98	399	167	685	683	0	308	0	0	1754	0	0	0	0	1420	1462	0
