Target_genes	NR5A2|Average	SRX10478059|A549	SRX10478060|A549	SRX702035|hESC_derived_mesendodermal_cells	SRX702034|hESC_HUES64	SRX359877|LoVo	SRX278609|MCF-7	STRING
HSPA9	993.333333	2797	3163	0	0	0	0	0
MRPL48	892.833333	2586	2771	0	0	0	0	0
MRPL4	815.000000	2580	2310	0	0	0	0	0
TSC1	798.333333	2291	2499	0	0	0	0	0
GFI1B	798.333333	2291	2499	0	0	0	0	0
CYCS	763.000000	2408	2170	0	0	0	0	0
ZNF687	762.166667	2433	2140	0	0	0	0	0
STN1	736.833333	2382	2039	0	0	0	0	0
INTS10	722.666667	2168	2168	0	0	0	0	0
DPP8	667.000000	1878	2124	0	0	0	0	0
SLC25A6	637.666667	1838	1988	0	0	0	0	0
UBOX5	629.833333	2013	1766	0	0	0	0	0
FASTKD5	629.833333	2013	1766	0	0	0	0	0
CCNE1	624.333333	2106	1640	0	0	0	0	0
PTK6	617.833333	1969	1738	0	0	0	0	0
ATP5MG	592.000000	1851	1701	0	0	0	0	0
DAGLB	584.333333	1749	1757	0	0	0	0	0
ATP5MC3	559.333333	1861	1495	0	0	0	0	0
ZNF787	555.333333	1811	1521	0	0	0	0	0
ZNF768	511.500000	1485	1584	0	0	0	0	0
SH2B1	511.500000	1590	1479	0	0	0	0	0
DNAJC11	505.500000	1885	1148	0	0	0	0	0
AP5S1	501.666667	1631	1379	0	0	0	0	0
EXOSC4	501.166667	1559	1448	0	0	0	0	0
TOMM40	496.166667	1576	1401	0	0	0	0	0
UNC13D	493.666667	1578	1384	0	0	0	0	0
SEPTIN9	489.333333	1453	1483	0	0	0	0	0
NRL	488.000000	1058	731	643	496	0	0	0
DCAF11	488.000000	1058	731	643	496	0	0	0
UPP1	476.500000	1539	1320	0	0	0	0	0
ZFAND5	475.333333	1327	1525	0	0	0	0	0
AMER1	470.833333	1567	1258	0	0	0	0	0
ATP5F1B	466.166667	1452	1345	0	0	0	0	0
ATF1	465.500000	1331	1462	0	0	0	0	0
PSD	463.500000	1407	1374	0	0	0	0	0
FBXL15	463.500000	1407	1374	0	0	0	0	0
NFE2L2	457.500000	1500	1245	0	0	0	0	0
NRSN2	455.166667	1393	1338	0	0	0	0	0
DMTN	455.000000	1436	1294	0	0	0	0	0
ZNF764	452.833333	1491	1226	0	0	0	0	0
GSPT1	447.500000	1474	1211	0	0	0	0	0
RSPH3	443.333333	1416	1244	0	0	0	0	0
TIGD5	442.833333	815	702	547	593	0	0	0
EEF1D	442.833333	815	702	547	593	0	0	0
ZNF527	437.333333	1334	1290	0	0	0	0	0
UBE2I	436.333333	671	418	854	675	0	0	0
PKM	432.166667	1607	986	0	0	0	0	0
AIFM2	431.833333	1442	1149	0	0	0	0	0
RNF121	430.500000	282	319	1083	899	0	0	0
LOC100133315	430.500000	282	319	1083	899	0	0	0
PPIB	427.333333	1271	1293	0	0	0	0	0
SOCS7	425.666667	1279	1275	0	0	0	0	0
NPAS4	424.500000	1230	1317	0	0	0	0	0
ZC2HC1C	422.166667	1282	1251	0	0	0	0	0
ACYP1	422.166667	1282	1251	0	0	0	0	0
KRBA2	421.500000	1350	1179	0	0	0	0	0
SLC7A5	420.500000	1158	1365	0	0	0	0	0
COMTD1	400.833333	1301	1104	0	0	0	0	0
TIMM13	386.666667	1289	1031	0	0	0	0	0
COX8A	381.333333	1122	1166	0	0	0	0	0
KPNB1	378.166667	1280	989	0	0	0	0	0
TMEM161B	376.500000	1283	976	0	0	0	0	0
SERTAD1	375.333333	1149	1103	0	0	0	0	0
SIRT5	375.166667	1226	1025	0	0	0	0	0
YWHAG	374.333333	1162	1084	0	0	0	0	0
ZNF747	370.833333	1197	1028	0	0	0	0	0
AKR1B1	362.833333	1136	1041	0	0	0	0	0
NEURL2	360.500000	1170	993	0	0	0	0	0
CTSA	360.500000	1170	993	0	0	0	0	0
