,cl
E0,2
E1,1
E2,1
E3,3
E4,1
E5,3
E6,1
E7,2
E8,0
E9,1
E10,3
E11,3
E12,1
E13,1
E14,0
E15,1
E16,3
E17,1
E18,1
E19,3
E20,2
E21,1
E22,3
E23,1
E24,3
E25,1
E26,1
E27,3
E28,1
E29,2
E30,0
E31,1
E32,1
E33,1
E34,3
E35,1
E36,2
E37,2
E38,1
E39,3
E40,1
E41,3
E42,1
E43,2
E44,1
E45,0
E46,1
E47,1
E48,0
E49,0
E50,1
E51,1
E52,1
E53,3
E54,0
E55,1
E56,1
E57,3
E58,1
E59,1
E60,1
E61,1
E62,1
E63,2
E64,3
E65,1
E66,1
E67,3
E68,0
E69,3
E70,1
E71,1
E72,3
E73,1
E74,0
E75,0
E76,3
E77,2
E78,3
E79,1
E80,3
E81,3
E82,1
E83,1
E84,3
E85,3
E86,3
E87,1
E88,0
E89,2
E90,1
E91,2
E92,1
E93,1
E94,1
E95,3
E96,0
E97,1
E98,1
E99,1
E100,3
E101,1
E102,1
E103,0
E104,3
E105,2
E106,1
E107,1
E108,1
E109,1
E110,3
E111,1
E112,1
E113,1
E114,1
E115,3
E116,3
E117,3
E118,1
E119,1
E120,0
E121,0
E122,3
E123,3
E124,1
E125,3
E126,3
E127,1
E128,1
E129,3
E130,1
E131,3
E132,0
E133,1
E134,1
E135,1
E136,1
E137,2
E138,1
E139,1
E140,1
E141,1
E142,3
E143,3
E144,3
E145,3
E146,2
E147,2
E148,1
E149,3
E150,2
E151,2
E152,1
E153,1
E154,1
E155,3
E156,2
E157,1
E158,0
E159,1
E160,1
E161,1
E162,1
E163,3
E164,1
E165,3
E166,1
E167,1
E168,1
E169,1
E170,2
E171,1
E172,3
E173,1
E174,3
E175,1
E176,2
E177,0
E178,1
E179,1
E180,3
E181,1
E182,1
E183,1
E184,0
E185,3
E186,1
E187,3
E188,2
E189,1
E190,3
E191,0
E192,1
E193,1
E194,3
E195,1
E196,1
E197,3
E198,3
E199,3
E200,1
E201,3
E202,1
E203,0
E204,3
E205,1
E206,3
E207,0
E208,1
E209,2
E210,1
E211,2
E212,1
E213,3
E214,3
E215,3
E216,1
E217,3
E218,1
E219,3
E220,1
E221,2
E222,1
E223,1
E224,1
E225,2
E226,3
E227,1
E228,0
E229,1
E230,3
E231,3
E232,2
E233,1
E234,2
E235,3
E236,3
E237,0
E238,3
E239,1
E240,1
E241,3
E242,0
E243,2
E244,3
E245,1
E246,3
E247,3
E248,1
E249,2
E250,1
E251,1
E252,0
E253,3
E254,3
E255,0
E256,1
E257,1
E258,3
E259,1
E260,1
E261,2
E262,3
E263,1
E264,1
E265,2
E266,2
E267,0
E268,3
E269,3
E270,1
E271,3
E272,3
E273,0
E274,1
E275,1
E276,0
E277,1
E278,1
E279,1
E280,3
E281,1
E282,1
E283,2
E284,3
